Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
5,92.84,4.828285184,-0.0478,0.1184
4,92.84,5.101954743,0.0091,0.1095
3,93.76,0.0,-0.0389,0.0408
2,93.76,2.809131701,-0.0636,0.0806
1,93.76,3.836856692,-0.0709,0.1077
5,93.76,4.010132049,-0.0593,0.0548
4,93.76,5.203768077,-0.0555,0.1067
3,94.32,0.0,-0.0281,0.0094
5,94.32,0.0,-0.0116,0.0289
2,94.32,3.029027038,-0.0472,-0.0027
1,94.32,3.200084415,-0.0351,0.038
4,94.32,5.550807125,-0.0224,0.0478
3,94.92,0.0,-0.1138,-0.027
5,94.92,0.515474356,-0.0462,0.0113
1,94.92,0.965251663,-0.0568,-0.0062
2,94.92,3.484746667,-0.082,-0.0535
4,94.92,6.176920444,-0.0894,0.0105
3,96.16,0.0,-0.0563,-0.1072
4,96.16,1.236574764,-0.113,-0.0465
1,96.16,2.276590979,-0.1012,-0.0875
5,96.16,3.262537925,-0.1889,-0.1534
2,96.16,5.829981183,0.0232,-0.1048
3,96.8,0.0,-0.0139,-0.0206
4,96.8,2.006361433,-0.049,-0.0372
1,96.8,3.019289464,-0.0296,-0.0526
5,96.8,3.185744975,-0.0417,-0.0168
2,96.8,5.154217203,-0.0298,-0.0371
3,97.84,0.0,-0.0092,-0.0083
4,97.84,2.608046712,-0.0547,-0.0076
5,97.84,3.158366476,-0.0237,-0.006
1,97.84,3.328837182,-0.0694,-0.0347
2,97.84,3.667413426,-0.1125,-0.0281
3,100.12,0.0,-0.0489,-0.0526
5,100.12,3.961459918,0.0108,-0.1018
2,100.12,4.409889256,0.0072,-0.1048
4,100.12,4.485017395,-0.0043,-0.1659
1,100.12,4.960023408,0.0884,-0.1472
3,101.04,0.0,0.1345,-0.1411
5,101.04,2.945876152,0.1019,-0.0742
2,101.04,3.157464337,0.0786,-0.039
4,101.04,4.139290422,0.13,-0.099
1,101.04,4.644312522,0.1018,-0.0788
3,101.52,0.0,0.1144,-0.0016
2,101.52,3.423343351,0.0879,-0.0334
5,101.52,3.540047155,0.1288,-0.0452
4,101.52,4.018084168,0.0988,-0.0126
1,101.52,4.172326495,0.0686,-0.0312
3,101.88,0.0,0.0592,0.0384
2,101.88,3.632032675,0.0664,0.0142
5,101.88,3.76792627,0.0863,0.0381
4,101.88,4.175141835,0.0721,0.042
1,101.88,4.175997169,0.0542,0.0293
3,102.24,0.0,0.0497,0.0788
2,102.24,3.806320118,0.0504,0.0525
5,102.24,3.854136633,0.0465,0.0706
4,102.24,4.199586766,0.0487,0.0746
1,102.24,4.321093148,0.0529,0.0462
3,102.72,0.0,0.0009,0.1056
2,102.72,4.252835133,0.0544,0.0816
5,102.72,4.552929666,0.035,0.0933
1,102.72,4.753552874,0.0589,0.0646
4,102.72,4.788447266,0.0317,0.0873
3,103.8,0.0,-0.0867,0.127
2,103.8,4.291470692,-0.0565,0.1831
5,103.8,4.880666559,-0.0745,0.1496
1,103.8,5.264826476,-0.0276,0.1852
4,103.8,5.553037284,-0.0563,0.1597
3,104.4,0.0,-0.039,0.02
4,104.4,0.0,-0.0743,0.0516
2,104.4,4.024836871,-0.0306,0.0537
1,104.4,5.636898093,-0.0304,0.0707
5,104.4,5.851465171,-0.0065,0.0289
3,105.32,0.0,-0.0611,0.0117
2,105.32,0.0,-0.0464,0.0296
4,105.32,5.402963675,-0.0278,-0.0286
1,105.32,5.654651007,-0.0675,0.0184
5,105.32,6.075623968,-0.0206,0.0124
3,106.36,0.0,-0.0459,-0.0232
2,106.36,0.0,-0.0459,-0.0232
5,106.36,0.084001447,-0.0271,0.0012
4,106.36,5.562426162,-0.0389,-0.0183
1,106.36,6.139616013,-0.0303,0.0142
