Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
3,79.92,0.0,-0.018,-0.0635
2,79.92,0.047441859,-0.0004,-0.0213
1,79.92,0.104540231,0.015,-0.0448
4,79.92,0.15361647,0.0163,-0.048
5,79.92,0.185948003,-0.0123,-0.0419
3,80.68,0.0,-0.0243,-0.158
2,80.68,0.050947129,-0.0031,-0.1036
5,80.68,0.063864857,0.0022,-0.0349
1,80.68,0.066840108,0.0334,-0.0817
4,80.68,0.074637926,-0.0001,-0.064
3,81.16,0.0,0.0839,-0.0904
4,81.16,0.02441905,0.0458,-0.0552
1,81.16,0.025674306,0.0367,-0.0403
2,81.16,0.050846435,0.0304,-0.0554
5,81.16,0.057076878,0.0147,-0.0151
3,81.88,0.0,0.0977,-0.0425
4,81.88,0.029658894,0.0625,-0.0337
1,81.88,0.043585892,0.0626,-0.0266
2,81.88,0.082871105,0.0408,-0.038
5,81.88,0.126060025,0.0301,-0.0287
3,83.08,0.0,0.1918,0.0872
5,83.08,0.062932424,0.267,0.0198
1,83.08,0.070892172,0.1496,0.0187
4,83.08,0.085130136,0.1613,0.0376
2,83.08,0.172973293,0.0911,-0.0269
3,83.72,0.0,0.0211,0.1574
5,83.72,0.069609338,0.073,0.1286
1,83.72,0.069802364,0.0641,0.1215
4,83.72,0.144766882,0.0734,0.0762
2,83.72,0.174671635,0.0844,0.0727
3,84.08,0.0,-0.0406,0.0643
1,84.08,0.061404397,0.0082,0.0762
5,84.08,0.085068502,0.0019,0.0625
2,84.08,0.146515869,0.037,0.0631
4,84.08,0.160887601,0.0107,0.0551
3,85.4,0.0,-0.1935,0.0871
5,85.4,0.069559255,-0.1706,0.1524
2,85.4,0.076510457,-0.1154,0.1803
1,85.4,0.124754158,-0.0968,0.1356
4,85.4,0.196746385,-0.0737,0.1365
3,87.44,0.0,-0.1029,-0.0431
1,87.44,0.048951915,-0.256,-0.0767
5,87.44,0.048951915,-0.2007,-0.0769
4,87.44,0.061978787,-0.2365,0.009
2,87.44,0.11546021,-0.2284,-0.0839
3,88.16,0.0,-0.0005,-0.0007
4,88.16,0.079543824,-0.0235,-0.0272
5,88.16,0.085759198,-0.027,-0.0267
1,88.16,0.104916777,-0.0192,-0.0546
2,88.16,0.153934174,0.0349,-0.0584
3,88.64,0.0,-0.0139,-0.0743
5,88.64,0.04987354,-0.006,-0.0249
4,88.64,0.073784619,0.0044,-0.0635
1,88.64,0.084843208,0.0034,-0.06
2,88.64,0.105448803,0.0254,-0.0294
3,89.8,0.0,0.0193,-0.2242
4,89.8,0.03304618,0.0015,-0.1248
1,89.8,0.06988512,-0.0041,-0.0996
2,89.8,0.091315388,0.0362,-0.0304
5,89.8,0.167743256,-0.0118,-0.0594
3,90.2,0.0,0.0389,-0.028
4,90.2,0.038420047,0.0052,-0.0286
1,90.2,0.090285104,0.0194,-0.0198
2,90.2,0.110433011,0.0137,-0.0061
5,90.2,0.121155107,0.0487,-0.0764
3,90.92,0.0,0.1675,-0.0063
4,90.92,0.072543091,0.1217,-0.0597
5,90.92,0.074710776,0.164,-0.086
2,90.92,0.119377092,0.0735,-0.0467
1,90.92,0.140280433,0.1007,-0.0459
3,91.76,0.0,0.1431,0.1206
5,91.76,0.076137244,0.1632,0.0445
2,91.76,0.111793783,0.1291,0.035
4,91.76,0.131899697,0.1443,0.0301
1,91.76,0.153740105,0.1596,0.0147
3,92.24,0.0,-0.0058,0.1247
5,92.24,0.063507874,0.0353,0.1179
2,92.24,0.076770632,0.0411,0.0976
1,92.24,0.145480205,0.0588,0.0836
4,92.24,0.170293864,0.0519,0.0679
3,92.84,0.0,-0.0624,0.0893
5,92.84,0.033726251,-0.0478,0.1184
2,92.84,0.041144258,-0.0353,0.1134
1,92.84,0.098248511,-0.0093,0.1244
4,92.84,0.16193298,0.0091,0.1095
3,93.76,0.0,-0.0389,0.0408
5,93.76,0.02554408,-0.0593,0.0548
1,93.76,0.048705236,-0.0709,0.1077
2,93.76,0.064956909,-0.0636,0.0806
4,93.76,0.09515892,-0.0555,0.1067
3,94.32,0.0,-0.0281,0.0094
5,94.32,0.0,-0.0116,0.0289
1,94.32,0.044476061,-0.0351,0.038
4,94.32,0.068048586,-0.0224,0.0478
2,94.32,0.081012715,-0.0472,-0.0027
3,94.92,0.0,-0.1138,-0.027
1,94.92,0.022135944,-0.0568,-0.0062
2,94.92,0.051715085,-0.082,-0.0535
4,94.92,0.07542546,-0.0894,0.0105
5,94.92,0.077695881,-0.0462,0.0113
3,96.16,0.0,-0.0563,-0.1072
2,96.16,0.03425843,0.0232,-0.1048
1,96.16,0.049796586,-0.1012,-0.0875
4,96.16,0.055786916,-0.113,-0.0465
5,96.16,0.065478317,-0.1889,-0.1534
3,96.8,0.0,-0.0139,-0.0206
2,96.8,0.034846234,-0.0298,-0.0371
4,96.8,0.03981771,-0.049,-0.0372
1,96.8,0.048361245,-0.0296,-0.0526
5,96.8,0.092890527,-0.0417,-0.0168
3,97.84,0.0,-0.0092,-0.0083
4,97.84,0.072356962,-0.0547,-0.0076
2,97.84,0.102206898,-0.1125,-0.0281
5,97.84,0.107315097,-0.0237,-0.006
1,97.84,0.110124884,-0.0694,-0.0347
3,100.12,0.0,-0.0489,-0.0526
5,100.12,0.069762167,0.0108,-0.1018
4,100.12,0.078520953,-0.0043,-0.1659
2,100.12,0.108422968,0.0072,-0.1048
1,100.12,0.118721607,0.0884,-0.1472
3,101.04,0.0,0.1345,-0.1411
4,101.04,0.040941422,0.13,-0.099
1,101.04,0.052922585,0.1018,-0.0788
5,101.04,0.081760932,0.1019,-0.0742
2,101.04,0.08821111,0.0786,-0.039
3,101.52,0.0,0.1144,-0.0016
4,101.52,0.059076222,0.0988,-0.0126
5,101.52,0.071392787,0.1288,-0.0452
1,101.52,0.096073514,0.0686,-0.0312
2,101.52,0.119408249,0.0879,-0.0334
3,101.88,0.0,0.0592,0.0384
5,101.88,0.047767039,0.0863,0.0381
4,101.88,0.048654393,0.0721,0.042
1,101.88,0.106450035,0.0542,0.0293
2,101.88,0.12186472,0.0664,0.0142
3,102.24,0.0,0.0497,0.0788
4,102.24,0.052790245,0.0487,0.0746
5,102.24,0.055371924,0.0465,0.0706
1,102.24,0.134246974,0.0529,0.0462
2,102.24,0.135690567,0.0504,0.0525
3,102.72,0.0,0.0009,0.1056
5,102.72,0.049123212,0.035,0.0933
4,102.72,0.064486433,0.0317,0.0873
2,102.72,0.1201673,0.0544,0.0816
1,102.72,0.165239977,0.0589,0.0646
3,103.8,0.0,-0.0867,0.127
5,103.8,0.026271087,-0.0745,0.1496
4,103.8,0.047377737,-0.0563,0.1597
2,103.8,0.05653468,-0.0565,0.1831
1,103.8,0.125580333,-0.0276,0.1852
3,104.4,0.0,-0.039,0.02
4,104.4,0.0,-0.0743,0.0516
2,104.4,0.02316247,-0.0306,0.0537
5,104.4,0.0406277,-0.0065,0.0289
1,104.4,0.093320362,-0.0304,0.0707
3,105.32,0.0,-0.0611,0.0117
2,105.32,0.0,-0.0464,0.0296
4,105.32,0.052277911,-0.0278,-0.0286
5,105.32,0.079097724,-0.0206,0.0124
1,105.32,0.084189429,-0.0675,0.0184
3,106.36,0.0,-0.0459,-0.0232
